Locus_Tag	Gene_Name	Product_Description	Strain_Name	Accession	GO_Term	Namespace	GO_Evidence_Code	Evidence_Ontology_ECO_Code	Evidence_Ontology_Term	Similar_To_Binds_To	PMID
PA0746	PA0746	probable acyl-CoA dehydrogenase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003995	acyl-CoA dehydrogenase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:cd01162	PMID:24451626
PA0746	PA0746	probable acyl-CoA dehydrogenase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006629	lipid metabolic process	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:cd01162	PMID:24451626
PA0746	PA0746	probable acyl-CoA dehydrogenase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF00441	PMID:24451626
PA0746	PA0746	probable acyl-CoA dehydrogenase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0055114	oxidation-reduction process	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF00441	PMID:24451626
PA0746	PA0746	probable acyl-CoA dehydrogenase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0050660	flavin adenine dinucleotide binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:G3DSA:1.10.540.10	PMID:24451626
PA0746	PA0746	probable acyl-CoA dehydrogenase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0008152	metabolic process	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:SSF56645	PMID:24451626
PA0747	PA0747	probable aldehyde dehydrogenase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0004491	methylmalonate-semialdehyde dehydrogenase (acylating) activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:TIGR01722	PMID:24451626
PA0747	PA0747	probable aldehyde dehydrogenase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0055114	oxidation-reduction process	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:TIGR01722	PMID:24451626
PA0747	PA0747	probable aldehyde dehydrogenase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0008152	metabolic process	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:SSF53720	PMID:24451626
PA0747	PA0747	probable aldehyde dehydrogenase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016491	oxidoreductase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:SSF53720	PMID:24451626
PA0750	ung	uracil-DNA glycosylase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0004844	uracil DNA N-glycosylase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:TIGR00628	PMID:24451626
PA0750	ung	uracil-DNA glycosylase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006281	DNA repair	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:TIGR00628	PMID:24451626
PA0750	ung	uracil-DNA glycosylase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006284	base-excision repair	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:TIGR00628	PMID:24451626
PA0750	ung	uracil-DNA glycosylase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016799	hydrolase activity, hydrolyzing N-glycosyl compounds	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS00130	PMID:24451626
PA0751	PA0751	conserved hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0010468	regulation of gene expression	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PIRSF038991	PMID:24451626
PA0751	PA0751	conserved hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016021	integral component of membrane	cellular_component	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PIRSF038991	PMID:24451626
PA0754	PA0754	hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0030288	outer membrane-bounded periplasmic space	cellular_component	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF03401	PMID:24451626
PA0755	opdH	cis-aconitate porin OpdH	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006810	transport	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF03573	PMID:24451626
PA0755	opdH	cis-aconitate porin OpdH	Pseudomonas aeruginosa PAO1 (Reference)	GO:0015288	porin activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF03573	PMID:24451626
PA0755	opdH	cis-aconitate porin OpdH	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016021	integral component of membrane	cellular_component	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF03573	PMID:24451626
PA0756	PA0756	probable two-component response regulator	Pseudomonas aeruginosa PAO1 (Reference)	GO:0000160	phosphorelay signal transduction system	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS51755	PMID:24451626
PA0756	PA0756	probable two-component response regulator	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003677	DNA binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS51755	PMID:24451626
PA0756	PA0756	probable two-component response regulator	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006355	regulation of transcription, DNA-templated	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS51755	PMID:24451626
PA0757	PA0757	probable two-component sensor	Pseudomonas aeruginosa PAO1 (Reference)	GO:0000155	phosphorelay sensor kinase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:cd00082	PMID:24451626
PA0757	PA0757	probable two-component sensor	Pseudomonas aeruginosa PAO1 (Reference)	GO:0007165	signal transduction	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:cd00082	PMID:24451626
PA0757	PA0757	probable two-component sensor	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016310	phosphorylation	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PR00344	PMID:24451626
PA0757	PA0757	probable two-component sensor	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016772	transferase activity, transferring phosphorus-containing groups	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PR00344	PMID:24451626
PA0757	PA0757	probable two-component sensor	Pseudomonas aeruginosa PAO1 (Reference)	GO:0004871	signal transducer activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS50885	PMID:24451626
PA0757	PA0757	probable two-component sensor	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016021	integral component of membrane	cellular_component	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS50885	PMID:24451626
PA0761	nadB	L-aspartate oxidase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016491	oxidoreductase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:G3DSA:1.20.58.100	PMID:24451626
PA0761	nadB	L-aspartate oxidase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0055114	oxidation-reduction process	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:G3DSA:1.20.58.100	PMID:24451626
PA0761	nadB	L-aspartate oxidase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0005737	cytoplasm	cellular_component	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:TIGR00551	PMID:24451626
PA0761	nadB	L-aspartate oxidase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0008734	L-aspartate oxidase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:TIGR00551	PMID:24451626
PA0761	nadB	L-aspartate oxidase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0009435	NAD biosynthetic process	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:TIGR00551	PMID:24451626
PA0762	algU	sigma factor AlgU	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003677	DNA binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF04542	PMID:24451626
PA0762	algU	sigma factor AlgU	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003700	transcription factor activity, sequence-specific DNA binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF04542	PMID:24451626
PA0762	algU	sigma factor AlgU	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006352	DNA-templated transcription, initiation	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF04542	PMID:24451626
PA0762	algU	sigma factor AlgU	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006355	regulation of transcription, DNA-templated	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF04542	PMID:24451626
PA0762	algU	sigma factor AlgU	Pseudomonas aeruginosa PAO1 (Reference)	GO:1902201	negative regulation of bacterial-type flagellum-dependent cell motility	biological_process	IMP	ECO:0000015	mutant phenotype evidence		PMID:16291668
PA0762	algU	sigma factor AlgU	Pseudomonas aeruginosa PAO1 (Reference)	GO:0032885	regulation of polysaccharide biosynthetic process	biological_process	IMP	ECO:0000015	mutant phenotype evidence		PMID:14645293
PA0762	algU	sigma factor AlgU	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016987	sigma factor activity	molecular_function	IDA	ECO:0000314	direct assay evidence used in manual assertion		PMID:7644517
PA0762	algU	sigma factor AlgU	Pseudomonas aeruginosa PAO1 (Reference)	GO:1902884	positive regulation of response to oxidative stress	biological_process	IMP	ECO:0000315	mutant phenotype evidence used in manual assertion		PMID:7961422
PA0762	algU	sigma factor AlgU	Pseudomonas aeruginosa PAO1 (Reference)	GO:1900189	positive regulation of cell adhesion involved in single-species biofilm formation	biological_process	IMP	ECO:0000315	mutant phenotype evidence used in manual assertion		PMID:20348252
PA0762	algU	sigma factor AlgU	Pseudomonas aeruginosa PAO1 (Reference)	GO:1900233	positive regulation of single-species biofilm formation on inanimate substrate	biological_process	IMP	ECO:0000315	mutant phenotype evidence used in manual assertion		PMID:20348252
PA0762	algU	sigma factor AlgU	Pseudomonas aeruginosa PAO1 (Reference)	GO:0071236	cellular response to antibiotic	biological_process	IMP	ECO:0000315	mutant phenotype evidence used in manual assertion		PMID:18838593
PA0762	algU	sigma factor AlgU	Pseudomonas aeruginosa PAO1 (Reference)	GO:0000345	cytosolic DNA-directed RNA polymerase complex	cellular_component	IDA	ECO:0000314	direct assay evidence used in manual assertion		PMID:7644517
PA0762	algU	sigma factor AlgU	Pseudomonas aeruginosa PAO1 (Reference)	GO:1900036	positive regulation of cellular response to heat	biological_process	IDA	ECO:0000314	direct assay evidence used in manual assertion		PMID:9159526
PA0762	algU	sigma factor AlgU	Pseudomonas aeruginosa PAO1 (Reference)	GO:0009405	pathogenesis	biological_process	IMP	ECO:0000315	mutant phenotype evidence used in manual assertion		PMID:8698507
PA0762	algU	sigma factor AlgU	Pseudomonas aeruginosa PAO1 (Reference)	GO:0036460	cellular response to cell envelope stress	biological_process	IDA	ECO:0000314	direct assay evidence used in manual assertion		PMID:19226327
PA0762	algU	sigma factor AlgU	Pseudomonas aeruginosa PAO1 (Reference)	GO:0032885	regulation of polysaccharide biosynthetic process	biological_process	IMP	ECO:0000315	mutant phenotype evidence used in manual assertion		PMID:7928961
PA0762	algU	sigma factor AlgU	Pseudomonas aeruginosa PAO1 (Reference)	GO:2000154	obsolete negative regulation of flagellar cell motility	biological_process			null		
PA0763	mucA	anti-sigma factor MucA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016989	sigma factor antagonist activity	molecular_function	IMP	ECO:0000015	mutant phenotype evidence		PMID:22842599
PA0763	mucA	anti-sigma factor MucA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0032885	regulation of polysaccharide biosynthetic process	biological_process	IMP	ECO:0000015	mutant phenotype evidence		PMID:8759866
PA0764	mucB	negative regulator for alginate biosynthesis MucB	Pseudomonas aeruginosa PAO1 (Reference)	GO:0032885	regulation of polysaccharide biosynthetic process	biological_process	IMP	ECO:0000015	mutant phenotype evidence		PMID:9171421
PA0765	mucC	positive regulator for alginate biosynthesis MucC	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006355	regulation of transcription, DNA-templated	biological_process	IDA	ECO:0000002	direct assay evidence		
PA0765	mucC	positive regulator for alginate biosynthesis MucC	Pseudomonas aeruginosa PAO1 (Reference)	GO:0009276	Gram-negative-bacterium-type cell wall	cellular_component	IDA	ECO:0000002	direct assay evidence		
PA0765	mucC	positive regulator for alginate biosynthesis MucC	Pseudomonas aeruginosa PAO1 (Reference)	GO:0032885	regulation of polysaccharide biosynthetic process	biological_process	IMP	ECO:0000015	mutant phenotype evidence		PMID:8550474
PA0766	mucD	serine protease MucD precursor	Pseudomonas aeruginosa PAO1 (Reference)	GO:0005515	protein binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:SSF50156	PMID:24451626
PA0766	mucD	serine protease MucD precursor	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006508	proteolysis	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PR00834	PMID:24451626
PA0766	mucD	serine protease MucD precursor	Pseudomonas aeruginosa PAO1 (Reference)	GO:0004252	serine-type endopeptidase activity	molecular_function	ISS	ECO:0000250	sequence similarity evidence used in manual assertion	RefSeq:NP_414703.1	PMID:16376476
PA0766	mucD	serine protease MucD precursor	Pseudomonas aeruginosa PAO1 (Reference)	GO:0007165	signal transduction	biological_process	IDA	ECO:0000314	direct assay evidence used in manual assertion		PMID:21036998
PA0766	mucD	serine protease MucD precursor	Pseudomonas aeruginosa PAO1 (Reference)	GO:0042597	periplasmic space	cellular_component	IDA	ECO:0000314	direct assay evidence used in manual assertion		PMID:21713511
PA0767	lepA	GTP-binding protein LepA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003924	GTPase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS51722	PMID:24451626
PA0767	lepA	GTP-binding protein LepA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0005525	GTP binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS51722	PMID:24451626
PA0768	lepB	signal peptidase I	Pseudomonas aeruginosa PAO1 (Reference)	GO:0008236	serine-type peptidase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS00501	PMID:24451626
PA0768	lepB	signal peptidase I	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016021	integral component of membrane	cellular_component	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS00501	PMID:24451626
PA0768	lepB	signal peptidase I	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006508	proteolysis	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:TIGR02227	PMID:24451626
PA0768	lepB	signal peptidase I	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016020	membrane	cellular_component	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:TIGR02227	PMID:24451626
PA0768	lepB	signal peptidase I	Pseudomonas aeruginosa PAO1 (Reference)	GO:0008233	peptidase activity	molecular_function	IDA	ECO:0000314	direct assay evidence used in manual assertion		PMID:22730125
PA0770	rnc	ribonuclease III	Pseudomonas aeruginosa PAO1 (Reference)	GO:0004525	ribonuclease III activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:SSF69065	PMID:24451626
PA0770	rnc	ribonuclease III	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006396	RNA processing	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:SSF69065	PMID:24451626
PA0770	rnc	ribonuclease III	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003723	RNA binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_00104	PMID:24451626
PA0770	rnc	ribonuclease III	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016075	rRNA catabolic process	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_00104	PMID:24451626
PA0771	era	GTP-binding protein Era	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003723	RNA binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS50823	PMID:24451626
PA0771	era	GTP-binding protein Era	Pseudomonas aeruginosa PAO1 (Reference)	GO:0005525	GTP binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS51713	PMID:24451626
PA0771	era	GTP-binding protein Era	Pseudomonas aeruginosa PAO1 (Reference)	GO:0005622	intracellular	cellular_component	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_00367	PMID:24451626
PA0772	recO	DNA repair protein RecO	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006281	DNA repair	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_00201	PMID:24451626
PA0772	recO	DNA repair protein RecO	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006310	DNA recombination	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_00201	PMID:24451626
PA0773	pdxJ	pyridoxal phosphate biosynthetic protein PdxJ	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003824	catalytic activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:G3DSA:3.20.20.70	PMID:24451626
PA0773	pdxJ	pyridoxal phosphate biosynthetic protein PdxJ	Pseudomonas aeruginosa PAO1 (Reference)	GO:0005737	cytoplasm	cellular_component	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:TIGR00559	PMID:24451626
PA0773	pdxJ	pyridoxal phosphate biosynthetic protein PdxJ	Pseudomonas aeruginosa PAO1 (Reference)	GO:0008615	pyridoxine biosynthetic process	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:TIGR00559	PMID:24451626
PA0773	pdxJ	pyridoxal phosphate biosynthetic protein PdxJ	Pseudomonas aeruginosa PAO1 (Reference)	GO:0033856	pyridoxine 5'-phosphate synthase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:TIGR00559	PMID:24451626
PA0774	PA0774	conserved hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0002098	tRNA wobble uridine modification	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_01590	PMID:24451626
PA0774	PA0774	conserved hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_01590	PMID:24451626
PA0775	PA0775	conserved hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0002098	tRNA wobble uridine modification	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_01589	PMID:24451626
PA0779	asrA	AsrA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0004176	ATP-dependent peptidase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS01046	PMID:24451626
PA0779	asrA	AsrA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0004252	serine-type endopeptidase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS01046	PMID:24451626
PA0779	asrA	AsrA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006508	proteolysis	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS01046	PMID:24451626
PA0779	asrA	AsrA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0005524	ATP binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_01973	PMID:24451626
PA0779	asrA	AsrA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0043565	sequence-specific DNA binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_01973	PMID:24451626
PA0779	asrA	AsrA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0080164	regulation of nitric oxide metabolic process	biological_process	IMP	ECO:0000015	mutant phenotype evidence		PMID:18043907
PA0779	asrA	AsrA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0071236	cellular response to antibiotic	biological_process	IMP	ECO:0000015	mutant phenotype evidence		PMID:21357290
PA0780	pruR	proline utilization regulator	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003700	transcription factor activity, sequence-specific DNA binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS01124	PMID:24451626
PA0780	pruR	proline utilization regulator	Pseudomonas aeruginosa PAO1 (Reference)	GO:0043565	sequence-specific DNA binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS01124	PMID:24451626
PA0780	pruR	proline utilization regulator	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003677	DNA binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:SSF46689	PMID:24451626
PA0780	pruR	proline utilization regulator	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006355	regulation of transcription, DNA-templated	biological_process	IDA	ECO:0000002	direct assay evidence		
PA0780	pruR	proline utilization regulator	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006562	proline catabolic process	biological_process	IDA	ECO:0000002	direct assay evidence		
PA0780	pruR	proline utilization regulator	Pseudomonas aeruginosa PAO1 (Reference)	GO:2001158	positive regulation of proline catabolic process to glutamate	biological_process	IMP	ECO:0000015	mutant phenotype evidence		PMID:12270821
PA0781	PA0781	hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0004872	receptor activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:G3DSA:2.170.130.10	PMID:24451626
PA0781	PA0781	hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006810	transport	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:G3DSA:2.170.130.10	PMID:24451626
PA0781	PA0781	hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016020	membrane	cellular_component	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:G3DSA:2.170.130.10	PMID:24451626
PA0782	putA	proline dehydrogenase PutA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0008152	metabolic process	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:SSF53720	PMID:24451626
PA0782	putA	proline dehydrogenase PutA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016491	oxidoreductase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:SSF53720	PMID:24451626
PA0782	putA	proline dehydrogenase PutA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0055114	oxidation-reduction process	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:SSF53720	PMID:24451626
PA0782	putA	proline dehydrogenase PutA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006561	proline biosynthetic process	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:TIGR01238	PMID:24451626
PA0782	putA	proline dehydrogenase PutA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003700	transcription factor activity, sequence-specific DNA binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PIRSF000197	PMID:24451626
PA0782	putA	proline dehydrogenase PutA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006355	regulation of transcription, DNA-templated	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PIRSF000197	PMID:24451626
PA0782	putA	proline dehydrogenase PutA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0010133	proline catabolic process to glutamate	biological_process	IDA	ECO:0000314	direct assay evidence used in manual assertion		PMID:6819140
PA0782	putA	proline dehydrogenase PutA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0004657	proline dehydrogenase activity	molecular_function	IDA	ECO:0000314	direct assay evidence used in manual assertion		PMID:6819140
PA0782	putA	proline dehydrogenase PutA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003842	1-pyrroline-5-carboxylate dehydrogenase activity	molecular_function	IDA	ECO:0000314	direct assay evidence used in manual assertion		PMID:6819140
PA0783	putP	sodium/proline symporter PutP	Pseudomonas aeruginosa PAO1 (Reference)	GO:0005215	transporter activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF00474	PMID:24451626
PA0783	putP	sodium/proline symporter PutP	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006810	transport	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF00474	PMID:24451626
PA0783	putP	sodium/proline symporter PutP	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016020	membrane	cellular_component	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF00474	PMID:24451626
PA0783	putP	sodium/proline symporter PutP	Pseudomonas aeruginosa PAO1 (Reference)	GO:0055085	transmembrane transport	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF00474	PMID:24451626
PA0783	putP	sodium/proline symporter PutP	Pseudomonas aeruginosa PAO1 (Reference)	GO:0005298	proline:sodium symporter activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:cd11475	PMID:24451626
PA0783	putP	sodium/proline symporter PutP	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006814	sodium ion transport	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:cd11475	PMID:24451626
PA0783	putP	sodium/proline symporter PutP	Pseudomonas aeruginosa PAO1 (Reference)	GO:0015824	proline transport	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:cd11475	PMID:24451626
PA0783	putP	sodium/proline symporter PutP	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016021	integral component of membrane	cellular_component	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:cd11475	PMID:24451626
PA0783	putP	sodium/proline symporter PutP	Pseudomonas aeruginosa PAO1 (Reference)	GO:0031402	sodium ion binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:cd11475	PMID:24451626
PA0783	putP	sodium/proline symporter PutP	Pseudomonas aeruginosa PAO1 (Reference)	GO:0010133	proline catabolic process to glutamate	biological_process	IMP	ECO:0000015	mutant phenotype evidence		PMID:12270821
PA0783	putP	sodium/proline symporter PutP	Pseudomonas aeruginosa PAO1 (Reference)	GO:0015193	L-proline transmembrane transporter activity	molecular_function	IMP	ECO:0000315	mutant phenotype evidence used in manual assertion		PMID:12270821
